Humidity: 43.90, Temp: 22.10, Lux: 1016.67
Humidity: 43.80, Temp: 22.10, Lux: 1016.67
Humidity: 43.80, Temp: 22.10, Lux: 1016.67
Humidity: 43.80, Temp: 22.10, Lux: 1016.67
Humidity: 43.80, Temp: 22.20, Lux: 1016.67
Humidity: 43.70, Temp: 22.10, Lux: 1016.67
Humidity: 43.70, Temp: 22.20, Lux: 1016.67
Humidity: 43.70, Temp: 22.20, Lux: 1016.67
Humidity: 43.60, Temp: 22.10, Lux: 1039.36
Humidity: 43.60, Temp: 22.10, Lux: 1016.67
Humidity: 43.60, Temp: 22.20, Lux: 1039.36
Humidity: 43.60, Temp: 22.20, Lux: 1039.36
Humidity: 43.60, Temp: 22.20, Lux: 1039.36
Humidity: 43.60, Temp: 22.20, Lux: 1039.36
Humidity: 43.50, Temp: 22.20, Lux: 1039.36
Humidity: 43.50, Temp: 22.20, Lux: 1039.36
Humidity: 43.50, Temp: 22.20, Lux: 1039.36
Humidity: 43.50, Temp: 22.20, Lux: 1039.36
Humidity: 43.50, Temp: 22.20, Lux: 1039.36
Humidity: 43.40, Temp: 22.20, Lux: 1039.36
Humidity: 43.40, Temp: 22.20, Lux: 1039.36
Humidity: 43.40, Temp: 22.20, Lux: 1039.36
Humidity: 43.40, Temp: 22.20, Lux: 1039.36
Humidity: 43.40, Temp: 22.20, Lux: 1039.36
Humidity: 43.40, Temp: 22.20, Lux: 1016.67
Humidity: 43.30, Temp: 22.20, Lux: 1039.36
Humidity: 43.30, Temp: 22.20, Lux: 1039.36
Humidity: 43.30, Temp: 22.20, Lux: 1039.36
Humidity: 43.30, Temp: 22.30, Lux: 1016.67
Humidity: 43.30, Temp: 22.20, Lux: 1016.67
Humidity: 43.30, Temp: 22.20, Lux: 1016.67
Humidity: 43.30, Temp: 22.20, Lux: 1016.67
Humidity: 43.30, Temp: 22.20, Lux: 994.90
Humidity: 43.30, Temp: 22.30, Lux: 974.00
Humidity: 43.30, Temp: 22.30, Lux: 974.00
Humidity: 43.30, Temp: 22.30, Lux: 953.92
Humidity: 43.20, Temp: 22.30, Lux: 953.92
Humidity: 43.20, Temp: 22.30, Lux: 953.92
Humidity: 43.20, Temp: 22.30, Lux: 953.92
Humidity: 43.20, Temp: 22.30, Lux: 994.90
Humidity: 43.20, Temp: 22.30, Lux: 994.90
Humidity: 43.20, Temp: 22.30, Lux: 1016.67
Humidity: 43.20, Temp: 22.30, Lux: 1039.36
Humidity: 43.10, Temp: 22.30, Lux: 1039.36
Humidity: 43.10, Temp: 22.30, Lux: 1039.36
Humidity: 43.10, Temp: 22.30, Lux: 1039.36
Humidity: 43.10, Temp: 22.30, Lux: 1016.67
Humidity: 43.10, Temp: 22.30, Lux: 1016.67
Humidity: 43.10, Temp: 22.30, Lux: 994.90
Humidity: 43.00, Temp: 22.30, Lux: 974.00
Humidity: 43.00, Temp: 22.30, Lux: 953.92
Humidity: 43.00, Temp: 22.30, Lux: 953.92
Humidity: 43.00, Temp: 22.30, Lux: 953.92
Humidity: 43.00, Temp: 22.30, Lux: 953.92
Humidity: 43.00, Temp: 22.30, Lux: 953.92
Humidity: 42.90, Temp: 22.30, Lux: 974.00
Humidity: 42.90, Temp: 22.30, Lux: 994.90
Humidity: 42.90, Temp: 22.30, Lux: 994.90
Humidity: 42.90, Temp: 22.30, Lux: 1016.67
Humidity: 42.90, Temp: 22.30, Lux: 994.90
